Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region,Still admitted
2,80,11/03/2020,0,0,ICT,2
0,95,11/03/2020,0,0,Punjab,0
14,171,11/03/2020,1,0,Sindh,13
0,28,11/03/2020,0,0,KP,0
0,0,11/03/2020,0,0,KPTD,0
1,18,11/03/2020,0,0,Balochistan,1
0,4,11/03/2020,0,0,AJK,0
2,26,11/03/2020,0,0,GB,2
2,85,12/03/2020,0,0,ICT,2
0,105,12/03/2020,0,0,Punjab,0
14,198,12/03/2020,2,0,Sindh,12
0,29,12/03/2020,0,0,KP,0
0,0,12/03/2020,0,0,KPTD,0
1,18,12/03/2020,0,0,Balochistan,1
0,8,12/03/2020,0,0,AJK,0
3,28,12/03/2020,0,0,GB,3
2,92,13/03/2020,0,0,ICT,2
0,110,13/03/2020,0,0,Punjab,0
15,240,13/03/2020,2,0,Sindh,13
0,30,13/03/2020,0,0,KP,0
0,0,13/03/2020,0,0,KPTD,0
1,18,13/03/2020,0,0,Balochistan,1
0,9,13/03/2020,0,0,AJK,0
3,32,13/03/2020,0,0,GB,3
3,99,14/03/2020,0,0,ICT,3
0,116,14/03/2020,0,0,Punjab,0
16,282,14/03/2020,3,0,Sindh,13
0,31,14/03/2020,0,0,KP,0
0,0,14/03/2020,0,0,KPTD,0
6,35,14/03/2020,0,0,Balochistan,6
0,10,14/03/2020,0,0,AJK,0
3,36,14/03/2020,0,0,GB,3
4,115,15/03/2020,0,0,ICT,4
0,126,15/03/2020,0,0,Punjab,0
18,315,15/03/2020,3,0,Sindh,15
0,32,15/03/2020,0,0,KP,0
0,0,15/03/2020,0,0,KPTD,0
6,42,15/03/2020,0,0,Balochistan,6
0,11,15/03/2020,0,0,AJK,0
3,45,15/03/2020,0,0,GB,3
4,147,16/03/2020,0,0,ICT,4
1,166,16/03/2020,0,0,Punjab,1
34,364,16/03/2020,3,0,Sindh,32
0,32,16/03/2020,0,0,KP,0
0,0,16/03/2020,0,0,KPTD,0
5,40,16/03/2020,0,0,Balochistan,10
0,11,16/03/2020,0,0,AJK,0
3,45,16/03/2020,0,0,GB,3
6,28,16/03/2020,0,0,Mobile Lab,0
4,581,17-Mar-20,1,0,ICT,3
1,166,17/03/2020,0,0,Punjab,1
150,554,17/03/2020,3,0,Sindh,147
15,51,17/03/2020,0,0,KP,15
0,0,17/03/2020,0,0,KPTD,0
14,163,17/03/2020,0,0,Balochistan,14
0,11,17/03/2020,0,0,AJK,0
3,45,17/03/2020,0,0,GB,3
8,627,18/03/2020,1,0,ICT,3
26,133,18/03/2020,0,0,Punjab,26
172,606,18/03/2020,3,0,Sindh,169
17,42,18/03/2020,0,0,KP,17
0,0,18/03/2020,0,0,KPTD,0
15,151,18/03/2020,0,0,Balochistan,15
0,11,18/03/2020,0,0,AJK,0
3,51,18/03/2020,0,0,GB,5
5,184,19-Mar-20,2,0,ICT,3
33,254,19/03/2020,0,0,Punjab,33
208,908,19/03/2020,3,0,Sindh,205
19,67,19/03/2020,0,2,KP,17
0,0,19/03/2020,0,0,KPTD,0
23,637,19/03/2020,0,0,Balochistan,23
1,23,19/03/2020,0,0,AJK,1
13,90,19/03/2020,0,0,GB,11
10,277,20/03/2020,2,0,ICT,8
80,872,20-Mar-20,0,0,Punjab,80
245,1210,20/03/2020,3,0,Sindh,242
23,67,20/03/2020,0,2,KP,21
0,0,20/03/2020,0,0,KPTD,0
81,805,20/03/2020,0,0,Balochistan,81
1,36,20/03/2020,0,0,AJK,1
21,143,20/03/2020,0,0,GB,21
11,325,21-Mar-20,2,0,ICT,9
96,894,21-Mar-20,0,0,Punjab,96
253,1497,21/03/2020,3,1,Sindh,249
23,130,21/03/2020,0,2,KP,21
0,0,21/03/2020,0,0,KPTD,0
81,805,21/03/2020,0,0,Balochistan,81
1,40,21-Mar-20,0,0,AJK,1
30,310,21/03/2020,0,0,GB,30
11,366,22/03/2020,2,0,ICT,9
152,1361,22/03/2020,0,0,Punjab,152
396,1497,22/03/2020,3,1,Sindh,392
31,264,22/03/2020,0,2,KP,29
0,0,22/03/2020,0,0,KPTD,0
104,1380,22/03/2020,0,0,Balochistan,104
1,42,22/03/2020,0,0,AJK,1
55,315,22/03/2020,0,0,GB,55
15,404,23-Mar-20,2,0,ICT,13
225,1436,23/03/2020,0,0,Punjab,225
333,1512,23/03/2020,4,1,Sindh,328
31,305,23/03/2020,0,3,KP,28
108,1405,23/03/2020,0,1,Balochistan,107
1,44,23/03/2020,0,0,AJK,1
71,338,23/03/2020,0,0,GB,71
15,427,24/03/2020,2,0,ICT,13
249,1436,24/03/2020,0,0,Punjab,249
394,1579,24-Mar-20,4,1,Sindh,389
38,448,24/03/2020,0,3,KP,35
110,1407,24/03/2020,0,1,Balochistan,109
1,60,24/03/2020,0,0,AJK,1
80,500,24/03/2020,0,1,GB,79
18,459,25/03/2020,2,0,ICT,16
296,1436,25/03/2020,2,1,Punjab,293
407,1579,25/03/2020,14,1,Sindh,392
78,566,25/03/2020,0,3,KP,75
110,1437,25/03/2020,0,1,Balochistan,109
1,66,25/03/2020,0,0,AJK,1
81,580,25/03/2020,0,1,GB,80
25,561,26/03/2020,2,0,ICT,8
323,1436,26-Mar-20,3,2,Punjab,318
413,1592,26-Mar-20,14,1,Sindh,398
80,704,26-Mar-20,2,3,KP,75
131,1455,26-Mar-20,0,1,Balochistan,130
1,77,26-Mar-20,0,0,AJK,1
84,624,26-Mar-20,0,1,GB,83
25,712,27-Mar-20,2,0,ICT,12
408,2257,27-Mar-20,3,3,Punjab,402
417,1592,27-Mar-20,14,1,Sindh,402
123,917,27-Mar-20,2,3,KP,118
131,1512,27-Mar-20,0,1,Balochistan,130
2,83,27-Mar-20,0,0,AJK,2
91,762,27-Mar-20,2,1,GB,88
39,1056,28-Mar-20,2,0,ICT,8
490,3310,28-Mar-20,4,5,Punjab,237
457,5158,28-Mar-20,14,1,Sindh,294
180,1121,28-Mar-20,2,3,KP,50
133,1657,28-Mar-20,2,1,Balochistan,122
2,97,28-Mar-20,0,0,AJK,2
107,832,28-Mar-20,3,1,GB,12
43,1213,29-Mar-20,2,0,ICT,11
558,3492,29-Mar-20,4,5,Punjab,247
481,5673,29-Mar-20,14,2,Sindh,294
188,1229,29-Mar-20,2,4,KP,60
138,1737,29-Mar-20,2,1,Balochistan,130
2,97,29-Mar-20,0,0,AJK,2
116,895,29-Mar-20,4,1,GB,12
51,1310,30/03/2020,3,0,ICT,13
593,3492,30/03/2020,5,6,Punjab,253
508,5945,30/03/2020,16,5,Sindh,306
195,1324,30/03/2020,2,5,KP,60
144,1710,30/03/2020,2,1,Balochistan,133
6,105,30/03/2020,0,0,AJK,6
128,862,30/03/2020,4,1,GB,12
58,1469,31/03/2020,3,0,ICT,16
652,2500,31/03/2020,5,9,Punjab,303
627,6328,31/03/2020,42,7,Sindh,315
221,1512,31/03/2020,2,6,KP,70
153,1792,31/03/2020,2,1,Balochistan,139
6,177,31/03/2020,0,0,AJK,6
148,880,31/03/2020,4,2,GB,12
54,1703,01/04/2020,3,0,ICT,16
